,0
0,"두려운, 무서운"
1,순진한
2,"기분 좋은, 일치하는"
3,감동받은
4,놀라운
5,지능이 높은
6,야망 있는
7,관심 있는
8,"즐기는, 흥겨운"
9,"짜증 난, 화난"
10,"짜증 난, 성가신"
11,시기하는
12,진심으로 고마운
13,게으른
14,수치스러운
15,외로운
16,"신랄한, 괴로운"
17,신비스러운
18,"자랑하는, 과장된"
19,부정적인
20,지루한
21,"초조한, 긴장한"
22,용감한
23,기분 상한
24,조심성 있는
25,낙관적인
26,부주의한
27,고통스러운
28,"명랑한, 즐거운"
29,열성적인
30,명석한
31,참을성 있는
32,경쟁적인
33,비관적인
34,염려하는
35,"기쁜, 만족스러운"
36,"자신하는, 확신하는"
37,"예의 바른, 공손한"
38,혼란스러운
39,긍정적인
40,사려 깊은
41,잠재력 있는
42,만족스러운
43,편견을 가진
44,확신하는
45,자랑스러운
46,"용감한, 배짱 있는"
47,당황한
48,창의적인
49,"후회하는, 뉘우치는"
50,비판적인
51,믿을 수 있는
52,의심하는
53,"안도하는, 안심하는"
54,"꺾인, 패배한"
55,내키지 않는
56,"기쁜, 유쾌한"
57,존경스러운
58,"낙담한, 우울한"
59,우스꽝스러운
60,"탐나는, 호감 가는"
61,무례한
62,자포자기하는
63,만족스러운
64,"단호한, 결연한"
65,겁먹은
66,실망한
67,무서운
68,"넌더리 난, 싫증난"
69,"몰래, 은밀히"
70,"무관심한, 청렴한"
71,이기적인
72,당황스러운
73,"민감한, 예민한"
74,견딜 수 있는
75,"심각한, 진지한"
76,"열광적인, 열렬한"
77,충격받은
78,부러워하는
79,수줍어하는
80,"신난, 흥분된"
81,바보 같은
82,겁에 질린
83,엄격한
84,좌절한
85,멍청한
86,"격노한, 격렬한"
87,성공적인
88,"관대한, 마음 넓은"
89,깜짝 놀란
90,"어두운, 침울한"
91,수상쩍은
92,감사하는
93,"동정적인, 인정 있는"
94,탐욕스러운
95,"겁먹은, 깜짝 놀란"
96,죄책감을 느끼는
97,"믿기 어려운, 놀라운"
98,"무력한, 힘없는"
99,불편한
100,정직한
101,"무심한, 관련 없는"
102,"유망한, 희망찬"
103,"무심한, 냉담한"
104,유머러스한
105,비현실적인
106,참을성 없는
107,"당황한, 화난"
108,"경솔한, 무모한"
109,폭력적인
110,"믿기 어려운, 대단한"
111,지혜로운
112,무관심한
113,걱정되는
